1 PROGRAM program
1 IDENTIFIER MyFirstProgram
1 SEMICOLON ;
2 VAR var
3 IDENTIFIER price
3 COLON :
3 INTEGER int
3 SEMICOLON ;
4 IDENTIFIER length
4 COLON :
4 INTEGER int
4 SEMICOLON ;
5 IDENTIFIER array
5 BRACKET_L [
5 CONST 10
5 BRACKET_R ]
5 COLON :
5 INTARRAY intarray
5 SEMICOLON ;
6 ENDVAR endvar
6 SEMICOLON ;
7 BEGIN begin
8 READ read
8 STREAM_R >>
8 IDENTIFIER price
8 SEMICOLON ;
9 READ read
9 STREAM_R >>
9 IDENTIFIER length
9 SEMICOLON ;
10 WRITE write
10 STREAM_L <<
10 IDENTIFIER price
10 SEMICOLON ;
11 WRITE write
11 STREAM_L <<
11 IDENTIFIER array
11 BRACKET_L [
11 CONST 10
11 BRACKET_R ]
11 SEMICOLON ;
13 IF if
13 PARENTHESIS_L (
13 IDENTIFIER price
13 EQ_OP ==
13 CONST 10
13 PARENTHESIS_R )
14 THEN then
15 BEGIN begin
16 IDENTIFIER price
16 ASSIGN_OP =
16 MATH math
16 PARENTHESIS_L (
16 IDENTIFIER price
16 PLUS +
16 CONST 1
16 PARENTHESIS_R )
16 SEMICOLON ;
17 END end
18 ENDIF endif
20 IF if
20 BOOL bool
20 PARENTHESIS_L (
20 IDENTIFIER price
20 EQ_OP ==
20 CONST 10
20 PARENTHESIS_R )
21 THEN then
22 BEGIN begin
23 IDENTIFIER price
23 ASSIGN_OP =
23 MATH math
23 PARENTHESIS_L (
23 IDENTIFIER price
23 PLUS +
23 CONST 1
23 PARENTHESIS_R )
23 SEMICOLON ;
24 END end
25 IDENTIFIER elseif
25 BOOL bool
25 PARENTHESIS_L (
25 IDENTIFIER price
25 CHEVRON_R >
25 IDENTIFIER length
25 PARENTHESIS_R )
26 ELSE else
27 BEGIN begin
28 IDENTIFIER price
28 ASSIGN_OP =
28 MATH math
28 PARENTHESIS_L (
28 IDENTIFIER price
28 MULT *
28 CONST 1
28 MINUS -
28 CONST 2
28 SLASH /
28 IDENTIFIER length
28 PARENTHESIS_R )
28 SEMICOLON ;
29 END end
30 ENDIF endif
32 WHILE while
32 BOOL bool
32 PARENTHESIS_L (
32 IDENTIFIER price
32 NE_OP !!
32 CONST 0
32 PARENTHESIS_R )
33 DO do
34 BEGIN begin
35 END end
36 ENDWHILE endwhile
37 IDENTIFIER end.
